region,period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
17000000000 Владимирская область,105 октябрь,884,976,978,"1,000","1,061","1,032",791,849,872,854,671,574,422,604,714
17000000000 Владимирская область,124 январь-октябрь,"9,543","10,358","10,074","10,229","10,297","10,715","9,938","9,969","10,134","9,318","7,955","8,054","7,316","7,035","5,891"
17000000000 Владимирская область,104 ноябрь,898,"1,056",889,864,800,"1,089",812,795,786,691,504,543,394,572,439
17000000000 Владимирская область,123 январь-ноябрь,"10,441","11,414","10,963","11,093","11,097","11,804","10,750","10,764","10,920","10,009","8,459","8,597","7,710","7,607","6,330"
17000000000 Владимирская область,62 декабрь,685,916,668,643,724,"1,005",740,662,624,707,472,592,411,559,407
17000000000 Владимирская область,118 январь-декабрь,"11,126","12,330","11,631","11,736","11,821","12,809","11,490","11,426","11,544","10,716","8,931","9,189","8,121","8,166","6,737"
20000000000 Воронежская область,115 январь,945,886,784,"1,011","1,045","1,012",824,806,919,876,737,817,826,687,627
20000000000 Воронежская область,114 февраль,"1,042","1,006",920,"1,292",829,"1,119",940,929,"1,203","1,002",789,"1,022",812,816,949
20000000000 Воронежская область,M01_02 январь-февраль,"1,987","1,892","1,704","2,303","1,874","2,131","1,764","1,735","2,122","1,878","1,526","1,839","1,638","1,503","1,576"
20000000000 Воронежская область,68 март,785,580,"1,099",603,485,833,521,"1,519",889,582,845,598,602,985,519
20000000000 Воронежская область,122 январь-март,"2,772","2,472","2,803","2,906","2,359","2,964","2,285","3,254","3,011","2,460","2,371","2,437","2,240","2,488","2,095"
20000000000 Воронежская область,61 апрель,"1,254","1,799",523,"1,523","2,225","1,343","1,512",520,"1,381","1,620",513,"1,456","1,442",575,657
20000000000 Воронежская область,117 январь-апрель,"4,026","4,271","3,326","4,429","4,584","4,307","3,797","3,774","4,392","4,080","2,884","3,893","3,682","3,063","2,752"
20000000000 Воронежская область,67 май,623,509,935,669,699,780,697,950,934,805,901,665,640,850,400
20000000000 Воронежская область,121 январь-май,"4,649","4,780","4,261","5,098","5,283","5,087","4,494","4,724","5,326","4,885","3,785","4,558","4,322","3,913","3,152"
20000000000 Воронежская область,66 июнь,"1,544","1,563","1,777","1,683","1,321","1,937","1,954","2,430","2,031","1,646","1,767","1,769","1,681","1,864","1,081"
20000000000 Воронежская область,120 январь-июнь,"6,193","6,343","6,038","6,781","6,604","7,024","6,448","7,154","7,357","6,531","5,552","6,327","6,003","5,777","4,233"
20000000000 Воронежская область,65 июль,"2,121","2,432","1,992","2,211","2,828","2,620","2,226","2,208","2,246","2,308","2,204","2,688","2,012","2,007","1,581"
20000000000 Воронежская область,119 январь-июль,"8,314","8,775","8,030","8,992","9,432","9,644","8,674","9,362","9,603","8,839","7,756","9,015","8,015","7,784","5,814"
20000000000 Воронежская область,60 август,"2,320","2,638","3,206","2,917","2,477","2,393","2,521","3,026","3,041","2,682","1,980","2,331","2,703","2,531","1,997"
20000000000 Воронежская область,116 январь-август,"10,634","11,413","11,236","11,909","11,909","12,037","11,195","12,388","12,644","11,521","9,736","11,346","10,718","10,315","7,811"
20000000000 Воронежская область,108 сентябрь,"2,852","3,015","2,249","2,454","2,588","3,151","2,712","2,474","2,241","2,266","1,946","2,308","2,051","2,011","1,619"
20000000000 Воронежская область,125 январь-сентябрь,"13,486","14,428","13,485","14,363","14,497","15,188","13,907","14,862","14,885","13,787","11,682","13,654","12,769","12,326","9,430"
20000000000 Воронежская область,105 октябрь,"1,434","1,745","1,508","1,631","1,963","2,044","1,477","1,656","1,581","1,646","1,241","1,331",699,"1,371","1,142"
20000000000 Воронежская область,124 январь-октябрь,"14,920","16,173","14,993","15,994","16,460","17,232","15,384","16,518","16,466","15,433","12,923","14,985","13,468","13,697","10,572"
20000000000 Воронежская область,104 ноябрь,"1,317","2,074","1,388","1,339","1,345","2,119","1,336","1,376","1,324","1,396",910,"1,197",637,"1,236",746
20000000000 Воронежская область,123 январь-ноябрь,"16,237","18,247","16,381","17,333","17,805","19,351","16,720","17,894","17,790","16,829","13,833","16,182","14,105","14,933","11,318"
20000000000 Воронежская область,62 декабрь,855,"1,579",813,798,823,"1,570","1,028",936,898,"1,333",677,967,420,"1,106",583
20000000000 Воронежская область,118 январь-декабрь,"17,092","19,826","17,194","18,131","18,628","20,921","17,748","18,830","18,688","18,162","14,510","17,149","14,525","16,039","11,901"
24000000000 Ивановская область,115 январь,347,385,382,405,426,332,363,335,380,384,308,298,286,287,226
24000000000 Ивановская область,114 февраль,438,449,464,619,422,470,473,416,546,524,335,398,316,287,415
24000000000 Ивановская область,M01_02 январь-февраль,785,834,846,"1,024",848,802,836,751,926,908,643,696,602,574,641
24000000000 Ивановская область,68 март,447,464,536,368,251,410,325,620,416,294,407,290,316,365,242
24000000000 Ивановская область,122 январь-март,"1,232","1,298","1,382","1,392","1,099","1,212","1,161","1,371","1,342","1,202","1,050",986,918,939,883
24000000000 Ивановская область,61 апрель,529,771,351,630,776,634,636,353,570,621,288,499,470,286,175
24000000000 Ивановская область,117 январь-апрель,"1,761","2,069","1,733","2,022","1,875","1,846","1,797","1,724","1,912","1,823","1,338","1,485","1,388","1,225","1,058"
24000000000 Ивановская область,67 май,206,357,356,272,245,238,276,296,358,297,309,217,200,265,78
24000000000 Ивановская область,121 январь-май,"1,967","2,426","2,089","2,294","2,120","2,084","2,073","2,020","2,270","2,120","1,647","1,702","1,588","1,490","1,136"
24000000000 Ивановская область,66 июнь,786,949,867,757,742,836,975,"1,101",880,731,812,695,672,666,451
24000000000 Ивановская область,120 январь-июнь,"2,753","3,375","2,956","3,051","2,862","2,920","3,048","3,121","3,150","2,851","2,459","2,397","2,260","2,156","1,587"
24000000000 Ивановская область,65 июль,"1,062","1,189",959,"1,018","1,186","1,143","1,045","1,011","1,071","1,064","1,069","1,096",783,813,638
24000000000 Ивановская область,119 январь-июль,"3,815","4,564","3,915","4,069","4,048","4,063","4,093","4,132","4,221","3,915","3,528","3,493","3,043","2,969","2,225"
24000000000 Ивановская область,60 август,"1,299","1,346","1,537","1,247","1,075","1,194","1,375","1,487","1,381","1,234",981,"1,023","1,108",932,883
24000000000 Ивановская область,116 январь-август,"5,114","5,910","5,452","5,316","5,123","5,257","5,468","5,619","5,602","5,149","4,509","4,516","4,151","3,901","3,108"
24000000000 Ивановская область,108 сентябрь,"1,198","1,167",979,997,"1,024","1,215","1,068","1,058",880,823,754,835,745,603,574
24000000000 Ивановская область,125 январь-сентябрь,"6,312","7,077","6,431","6,313","6,147","6,472","6,536","6,677","6,482","5,972","5,263","5,351","4,896","4,504","3,682"
24000000000 Ивановская область,105 октябрь,706,696,683,684,664,674,528,642,604,611,432,440,230,403,434
24000000000 Ивановская область,124 январь-октябрь,"7,018","7,773","7,114","6,997","6,811","7,146","7,064","7,319","7,086","6,583","5,695","5,791","5,126","4,907","4,116"
24000000000 Ивановская область,104 ноябрь,603,663,625,531,547,650,621,566,583,504,417,421,235,391,303
24000000000 Ивановская область,123 январь-ноябрь,"7,621","8,436","7,739","7,528","7,358","7,796","7,685","7,885","7,669","7,087","6,112","6,212","5,361","5,298","4,419"
24000000000 Ивановская область,62 декабрь,538,712,508,500,484,649,556,499,505,542,435,449,313,396,330
24000000000 Ивановская область,118 январь-декабрь,"8,159","9,148","8,247","8,028","7,842","8,445","8,241","8,384","8,174","7,629","6,547","6,661","5,674","5,694","4,749"
29000000000 Калужская область,115 январь,372,375,411,439,408,392,389,351,374,382,354,360,399,353,300
29000000000 Калужская область,114 февраль,431,425,421,643,442,406,468,361,478,486,352,444,400,358,486
29000000000 Калужская область,M01_02 январь-февраль,803,800,832,"1,082",850,798,857,712,852,868,706,804,799,711,786
29000000000 Калужская область,68 март,463,362,562,374,274,355,304,632,490,303,420,347,373,444,308
29000000000 Калужская область,122 январь-март,"1,266","1,162","1,394","1,456","1,124","1,153","1,161","1,344","1,342","1,171","1,126","1,151","1,172","1,155","1,094"
29000000000 Калужская область,61 апрель,648,785,424,698,860,614,620,307,614,737,322,609,572,380,231
29000000000 Калужская область,117 январь-апрель,"1,914","1,947","1,818","2,154","1,984","1,767","1,781","1,651","1,956","1,908","1,448","1,760","1,744","1,535","1,325"
29000000000 Калужская область,67 май,192,242,495,400,287,327,281,357,327,334,352,281,335,362,108
29000000000 Калужская область,121 январь-май,"2,106","2,189","2,313","2,554","2,271","2,094","2,062","2,008","2,283","2,242","1,800","2,041","2,079","1,897","1,433"
29000000000 Калужская область,66 июнь,766,975,950,853,724,943,940,"1,116",977,764,853,783,796,847,515
29000000000 Калужская область,120 январь-июнь,"2,872","3,164","3,263","3,407","2,995","3,037","3,002","3,124","3,260","3,006","2,653","2,824","2,875","2,744","1,948"
29000000000 Калужская область,65 июль,"1,035","1,256","1,051","1,045","1,257","1,226","1,098","1,121","1,078","1,055","1,127","1,253",939,858,625
29000000000 Калужская область,119 январь-июль,"3,907","4,420","4,314","4,452","4,252","4,263","4,100","4,245","4,338","4,061","3,780","4,077","3,814","3,602","2,573"
29000000000 Калужская область,60 август,"1,144","1,285","1,588","1,386","1,158","1,204","1,209","1,323","1,389","1,416",960,"1,028","1,175","1,091",922
29000000000 Калужская область,116 январь-август,"5,051","5,705","5,902","5,838","5,410","5,467","5,309","5,568","5,727","5,477","4,740","5,105","4,989","4,693","3,495"
29000000000 Калужская область,108 сентябрь,"1,122","1,185","1,011",938,"1,026","1,076","1,162",976,952,930,820,899,868,780,697
29000000000 Калужская область,125 январь-сентябрь,"6,173","6,890","6,913","6,776","6,436","6,543","6,471","6,544","6,679","6,407","5,560","6,004","5,857","5,473","4,192"
29000000000 Калужская область,105 октябрь,567,745,826,729,897,805,548,633,642,718,573,524,193,584,550
29000000000 Калужская область,124 январь-октябрь,"6,740","7,635","7,739","7,505","7,333","7,348","7,019","7,177","7,321","7,125","6,133","6,528","6,050","6,057","4,742"
29000000000 Калужская область,104 ноябрь,537,684,662,585,520,637,464,630,605,560,413,487,242,570,372
29000000000 Калужская область,123 январь-ноябрь,"7,277","8,319","8,401","8,090","7,853","7,985","7,483","7,807","7,926","7,685","6,546","7,015","6,292","6,627","5,114"
29000000000 Калужская область,62 декабрь,497,786,501,499,486,683,504,514,532,637,412,539,270,535,372
29000000000 Калужская область,118 январь-декабрь,"7,774","9,105","8,902","8,589","8,339","8,668","7,987","8,321","8,458","8,322","6,958","7,554","6,562","7,162","5,486"
34000000000 Костромская область,115 январь,306,303,262,317,322,310,246,291,276,251,170,206,201,153,160
34000000000 Костромская область,114 февраль,367,399,360,487,383,395,403,339,388,292,253,293,234,181,254
34000000000 Костромская область,M01_02 январь-февраль,673,702,622,804,705,705,649,630,664,543,423,499,435,334,414
34000000000 Костромская область,68 март,339,225,427,295,201,335,191,444,248,184,250,187,185,228,157
34000000000 Костромская область,122 январь-март,"1,012",927,"1,049","1,099",906,"1,040",840,"1,074",912,727,673,686,620,562,571
34000000000 Костромская область,61 апрель,426,584,324,494,629,437,481,246,396,430,173,292,324,147,96
